,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
4057,17.0,29.246673584,-47.3789558411,1.05016362667,-53.7772598267,2.20804232515,6.63312101364,6.18013191223,0.338450133801,3454.81665039,14.9006795883,12.6770439148,12.579076767,11.4236154556,10.6479072571,2.0,9.74017810822,3.90000009537,3.0,729.0,2.0
4097,17.0,21.2057304382,-49.6105613708,351.718933105,-52.3766212463,2.24325484967,5.0042090416,5.40326499939,0.248299628496,3334.22827148,15.3516464233,12.9825906754,12.8819437027,11.6579790115,10.8923997879,2.0,12.5630512238,3.34999990463,2.0,175.0,2.0
4098,17.0,21.659286499,-51.3390350342,350.317596436,-53.9143981934,3.46580981363,14.9798736572,2.53538894653,0.37269872427,3540.55004883,15.1713256836,13.0421190262,12.957485199,11.8355035782,11.0488071442,4.0,12.1849040985,4.59999990463,1.0,16.0,2.0
4099,17.0,21.7302818298,-48.2041244507,353.534790039,-51.4586448669,2.24175193675,18.4333152771,3.41661262512,0.476285099983,3751.83691406,13.3783426285,11.4763727188,11.3893566132,10.3799247742,9.57104587555,2.0,10.507727623,3.84999990463,2.0,79.0,2.0
4186,17.0,13.9596405029,-50.3436355591,345.082611084,-50.1384811401,2.47727823621,1.81953477859,17.8381710052,0.226468384266,3290.14819336,17.060426712,14.6191473007,14.5200624466,13.2558956146,12.4847307205,4.0,12.7786808014,4.69999980927,3.0,922.0,2.0
4187,17.0,14.4992733002,-51.2119178772,344.678985596,-51.0355110168,2.28405977836,5.19149780273,4.63753700256,0.231359049678,3304.49291992,15.5930976868,13.1829328537,13.0820350647,11.8376340866,11.0720930099,4.0,19.540933609,3.34999990463,1.0,628.0,2.0
4287,17.0,8.160405159,-49.3252983093,341.425476074,-47.1080818176,1.83478956524,1.05140626431,65.8119125366,0.320592015982,3422.45874023,15.3522539139,13.0906276703,12.9907236099,11.817492485,11.0444612503,2.0,11.4606199265,4.15000009537,3.0,999.0,2.0
4364,17.0,2.21016526222,-48.3776855469,337.578948975,-44.1104164124,3.15048511474,6.19486570358,68.3162765503,0.705320060253,4850.68945312,13.2891693115,12.20997715,12.1622171402,11.4987411499,10.8904485703,2.0,8.04350948334,6.59999990463,0.0,279.0,3.0
4421,17.0,355.669067383,-47.3169517517,333.341400146,-40.8507080078,1.11969713946,3.10724592209,26.2665538788,0.413258939981,3619.22973633,12.1210222244,10.0993728638,10.009226799,8.9466676712,8.16021156311,2.0,7.38873624802,2.0,3.0,526.0,2.0
4509,17.0,350.129211426,-40.4719467163,333.245452881,-32.931892395,9.63227715721,5.27652788162,356.330078125,1.07524836063,5984.11523438,13.0503015518,12.4031200409,12.4549999237,11.9420003891,11.6210002899,2.0,22.4132328033,8.5,0.0,122.0,3.0
